СПИСОК СОТРУДНИКОВ ДЛЯ СИСТЕМЫ ПЛАНИРОВАНИЯ ОТПУСКОВ
============================================================
Всего сотрудников: 100
Дата создания: 18.12.2025 01:23
============================================================

👑 АДМИНИСТРАТОРЫ:
  • Администратор | Логин: admin | Email: admin@company.com

👥 СОТРУДНИКИ:
    2. Михеев Георгий Андреевич                 | георгий.михеев1           | георгий.михеев100@company.com  | Технический отдел              | ✅ АКТИВЕН
    3. Богданов Валентина Андреевна             | валентина.богданов2       | валентина.богданов101@company.com | Отдел маркетинга               | ✅ АКТИВЕН
    4. Моисеев Виктор Владимирович              | виктор.моисеев3           | виктор.моисеев102@company.com  | Отдел безопасности             | ✅ АКТИВЕН
    5. Злобин Андрей Владимирович               | андрей.злобин4            | андрей.злобин103@company.com   | Отдел кадров (HR)              | ✅ АКТИВЕН
    6. Гришин Лариса Дмитриевна                 | лариса.гришин5            | лариса.гришин104@company.com   | Юридический отдел              | ✅ АКТИВЕН
    7. Кондратьев Полина Ивановна               | полина.кондратьев6        | полина.кондратьев105@company.com | Отдел закупок                  | ✅ АКТИВЕН
    8. Власов Федор Алексеевич                  | федор.власов7             | федор.власов106@company.com    | Отдел продаж                   | ✅ АКТИВЕН
    9. Тихонов Петр Алексеевич                  | петр.тихонов8             | петр.тихонов107@company.com    | Административный отдел         | ✅ АКТИВЕН
   10. Прокофьев Светлана Сергеевна             | светлана.прокофьев9       | светлана.прокофьев108@company.com | Отдел DevOps                   | ✅ АКТИВЕН
   11. Потапов Ярослав Алексеевич               | ярослав.потапов10         | ярослав.потапов109@company.com | Отдел разработки               | ✅ АКТИВЕН
   12. Петров Нина Викторовна                   | нина.петров11             | нина.петров110@company.com     | Отдел DevOps                   | ✅ АКТИВЕН
   13. Злобин Станислав Алексеевич              | станислав.злобин12        | станислав.злобин111@company.com | Отдел тестирования             | ✅ АКТИВЕН
   14. Рыбаков Нина Алексеевна                  | нина.рыбаков13            | нина.рыбаков112@company.com    | Отдел логистики                | ✅ АКТИВЕН
   15. Чернышев Борис Владимирович              | борис.чернышев14          | борис.чернышев113@company.com  | Техническая поддержка          | ✅ АКТИВЕН
   16. Миронов Егор Викторович                  | егор.миронов15            | егор.миронов114@company.com    | Производственный отдел         | ✅ АКТИВЕН
   17. Костин Инна Дмитриевна                   | инна.костин16             | инна.костин115@company.com     | Производственный отдел         | ✅ АКТИВЕН
   18. Журавлев Роман Иванович                  | роман.журавлев17          | роман.журавлев116@company.com  | Отдел продаж                   | ✅ АКТИВЕН
   19. Денисов Борис Алексеевич                 | борис.денисов18           | борис.денисов117@company.com   | Юридический отдел              | ✅ АКТИВЕН
   20. Гаврилов Лев Иванович                    | лев.гаврилов19            | лев.гаврилов118@company.com    | Склад                          | ✅ АКТИВЕН
   21. Осипов Иван Дмитриевич                   | иван.осипов20             | иван.осипов119@company.com     | IT-отдел                       | ✅ АКТИВЕН
   22. Цветков Юрий Иванович                    | юрий.цветков21            | юрий.цветков120@company.com    | Склад                          | ✅ АКТИВЕН
   23. Гришин Людмила Дмитриевна                | людмила.гришин22          | людмила.гришин121@company.com  | Отдел аналитики                | ✅ АКТИВЕН
   24. Филиппов Кира Сергеевна                  | кира.филиппов23           | кира.филиппов122@company.com   | Юридический отдел              | ✅ АКТИВЕН
   25. Власов Лариса Алексеевна                 | лариса.власов24           | лариса.власов123@company.com   | Отдел продаж                   | ✅ АКТИВЕН
   26. Николаев Егор Алексеевич                 | егор.николаев25           | егор.николаев124@company.com   | IT-отдел                       | ✅ АКТИВЕН
   27. Рыбаков Егор Владимирович                | егор.рыбаков26            | егор.рыбаков125@company.com    | Отдел безопасности             | ✅ АКТИВЕН
